Number,E-Word,EP-Word,Val-M,Val-SD,Arou-M,Arou-SD,Dom-M,Dom-SD,Freq,Nlett,Nsyll ,GClass,Neigh
99,dagger,punhal,2.88,1.87,6.32,2.33,4.16,2.80,9.56,6,2,N,2
100,death,morte,2.00,1.92,7.07,2.53,2.00,2.04,278.03,5,2,N,9
101,debt,dívida,2.76,1.64,6.57,1.97,3.96,2.29,67.80,6,3,N,1
102,decompose,decompor,4.73,1.40,4.79,1.72,4.88,1.54,3.70,8,3,V,2
103,defeated,derrotado,2.24,1.57,6.41,2.24,3.13,2.17,3.27,9,4,ADJ,UnAv
104,defiant,provocador,5.05,1.72,6.00,1.58,5.50,1.86,3.33,10,4,ADJ/N,0
105,delight,deleite,5.60,2.87,3.81,2.70,4.96,2.74,2.90,7,3,N,0
106,demon,demónio,2.34,1.56,6.00,2.24,4.24,2.33,13.63,7,3,N,0
107,depressed,deprimido,2.03,1.17,4.81,2.55,3.45,2.21,2.04,9,4,ADJ,UnAv
108,depression,depressão,1.94,1.28,5.84,2.67,3.47,2.43,17.70,9,3,N,1
109,deserter,desertor,3.14,1.86,4.56,2.41,3.71,2.05,2.65,8,3,N,2
110,despairing,desesperado,2.27,1.11,7.08,2.19,4.78,2.89,10.98,11,5,ADJ,UnAv
111,despise,desprezar,2.65,1.79,6.27,1.95,5.37,1.83,15.61,9,3,V,1
112,destroy,destruir,2.41,1.13,6.16,2.10,4.78,2.35,72.42,8,3,V,0
113,detached,imparcial,5.51,1.48,3.88,2.16,5.62,1.93,1.85,9,4,ADJ,0
114,detest,detestar,2.74,1.39,6.69,1.85,4.23,2.16,18.07,8,3,V,1
115,devil,diabo,3.78,1.39,5.09,2.23,4.64,1.83,33.19,5,3,N,0
116,devoted,dedicado,6.95,1.22,4.31,2.07,5.38,2.49,8.94,8,4,ADJ,UnAv
117,diamond,diamante,6.74,1.64,5.10,2.60,4.70,2.51,9.93,8,4,N,0
118,dignified,digno,7.24,1.16,4.10,1.94,6.73,1.66,30.23,5,2,ADJ,1
119,diploma,diploma,6.60,1.78,4.86,2.56,6.00,1.81,42.57,7,3,N,0
120,disappoint,decepcionar,2.17,1.56,5.88,2.20,3.46,1.67,0.80,11,5,V,0
121,disaster,desastre,2.44,1.45,6.81,1.97,3.51,2.40,21.71,8,3,N,0
122,discouraged,desanimado,2.19,1.23,4.59,2.53,3.22,1.99,1.30,10,5,ADJ,UnAv
123,disdainful,desdenhoso,2.95,1.63,4.69,2.21,4.38,2.06,3.33,10,4,ADJ,0
124,disgusted,desagradado,2.94,1.32,5.97,1.98,4.10,2.02,UnAv,11,5,V,UnAv
125,disloyal,desleal,1.88,1.07,6.48,1.82,4.88,2.34,2.10,7,3,ADJ,0
126,displeased,descontente,2.95,1.00,5.47,2.21,3.79,1.76,9.19,11,4,ADJ/N,UnAv
127,distressed,aflito,2.88,1.29,7.17,1.91,3.29,2.07,12.46,6,3,ADJ/N,2
128,divorce,divórcio,2.66,1.91,6.07,2.34,4.00,2.32,14.68,8,3,N,0
129,doctor,doutor,5.65,1.58,4.83,2.35,4.48,1.81,61.01,6,2,N,1
130,door,porta,5.23,0.92,4.20,1.67,4.70,2.08,303.57,5,2,N,10
131,dreadful,medonho,3.03,1.31,5.85,1.68,4.00,2.24,6.97,7,3,ADJ,0
132,dream,sonho,7.85,1.16,3.79,2.45,4.96,2.72,109.74,5,2,N,2
133,dress,vestido,6.72,1.44,4.78,2.22,5.54,1.69,48.67,7,3,ADJ/N,0
134,earth,terra,6.20,1.68,4.14,2.46,5.74,1.91,405.60,5,2,N,5
135,easygoing,descontraído,7.10,1.46,2.86,2.33,6.28,2.48,6.05,12,5,ADJ,UnAv
136,eat,comer,6.94,1.33,4.82,2.53,5.11,2.19,160.58,5,2,N/V,2
137,education,educação,7.16,1.32,4.22,2.17,5.70,2.16,530.89,8,4,N,0
138,elated,eufórico,7.33,1.79,7.54,1.84,6.58,1.86,4.69,8,4,ADJ,1
139,elegant,elegante,6.92,1.40,4.51,2.05,5.84,2.22,18.44,8,4,ADJ,1
140,embarrassed,embaraçado,3.96,1.66,5.79,2.30,4.58,2.32,4.57,10,5,ADJ,UnAv
141,embattled,armado,2.30,1.36,6.42,1.92,4.67,2.18,50.65,6,3,ADJ,4
143,engaged,empenhado,7.09,1.03,4.88,2.52,6.69,2.07,5.61,9,4,ADJ,UnAv
145,enjoyment,gozo,5.33,1.99,6.09,1.80,5.21,1.84,9.19,4,2,N,6
146,ennui,tédio,2.22,1.21,3.60,2.47,3.67,1.96,5.74,5,2,N,2
147,employment,emprego,7.31,1.65,6.23,2.25,5.05,2.58,134.73,7,3,N,0
148,engine,motor,4.66,1.47,5.58,1.82,4.63,0.97,51.08,5,2,ADJ/N,2
149,enraged,enfurecido,2.81,1.36,6.80,2.50,5.82,2.19,UnAv,10,5,V,UnAv
150,errand,recado,5.13,1.02,4.61,1.71,5.00,1.59,17.46,6,3,N,3
151,excellence,excelência,7.26,1.55,4.83,1.98,5.92,1.72,25.60,10,4,N,0
152,excitement,entusiasmo,7.82,1.16,6.50,2.75,6.44,2.08,31.71,10,5,N,0
153,excuse,desculpa,5.19,1.94,4.14,2.28,4.92,2.02,26.71,8,3,INT/N,1
154,execution,execução,4.41,2.20,5.44,2.29,5.21,1.93,66.99,8,4,N,0
155,exercise,exercício,6.17,1.80,6.08,1.81,6.15,1.96,81.55,9,4,N,0
156,failure,fracasso,1.72,0.99,6.42,2.34,3.59,2.00,14.68,8,3,N,0
157,fame,fama,5.89,1.24,4.88,2.04,4.93,2.12,22.45,4,2,N,12
158,family,família,7.74,1.70,4.07,2.73,7.00,1.63,335.34,7,3,N,0
159,fascinate,fascinar,7.48,1.15,5.08,2.16,6.22,2.02,10.12,8,3,V,0
160,fat,gordo,3.53,1.74,5.11,2.13,4.13,1.60,35.16,5,2,ADJ/N,5
161,father,pai,7.44,2.13,4.53,2.89,5.63,2.34,365.20,3,1,N,6
162,fatigued,fatigado,3.19,1.28,4.42,2.14,3.04,1.46,0.62,8,4,ADJ,UnAv
163,fearful,medroso,3.08,1.30,5.90,1.99,3.63,2.57,2.84,7,3,ADJ/N,0
164,feeble,débil,2.98,1.37,4.79,2.12,4.13,2.03,6.66,5,2,ADJ/N,0
165,filth,imundíce,2.69,1.62,5.81,2.53,5.22,1.95,UnAv,8,4,N,UnAv
166,fire,fogo,4.34,2.29,5.54,2.91,4.64,2.50,114.31,4,2,N,10
167,flabby,flácido,3.00,0.95,3.85,1.66,3.67,1.61,1.97,7,3,ADJ,1
168,flower,flor,7.30,1.30,3.62,2.25,5.76,2.32,93.33,4,1,N,2
169,foul,fétido,1.70,1.33,4.45,2.98,3.19,2.51,1.30,6,3,ADJ,0
170,fragrance,fragância,6.84,1.90,3.73,2.35,5.00,2.79,UnAv,9,3,,UnAv
